kegg_k_name,ATG12,ATG5,AZI2,CASP10,CASP8,CXCL9,CYLD,TKFC,DDX3X,RIG-I,LGP2,FADD,MDA5,IFNA1,IKBKA,IKBKB,IKKe,IKBKG,IRF3,IRF7,JNK,MAP3K1,MAP3K7,MAVS,MTMR10,NFKB1,NFKBIA,NFKBIB,NLRP12,NLRX1,OTUD5,P38,PIN1,PYCARD,RELA,RIPK1,SIKE,STRN1,TANK,TBK1,TNFa,TRADD,TRAF2,TRAF3,TRAF5,TRAF6,TRIM14,TRIM25,UBC
ATG12,0.593171412,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070845926,0.180151643,0.070845926,0,0.180151643,0,0,0
ATG5,1,0.621094276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070845926,0.180151643,0.070845926,0,0.180151643,0,0,0
AZI2,0,0,0.584769178,0,0,0,0,0,0.28489898,0,0,0.166416745,0,0,0,0,1,1,0,0.073230706,0,0,0,0.144862784,0,0,0,0,0,0,0,0,0,0,0,0.166416745,0,0,1,1,0,1,0,1,0,0,0,0,0
CASP10,0,0,0,0.330136477,1,0,0,0,0.067965405,0,0,0,0,0,1,1,0.078419314,1,0,0,0,0,0,0,0,0,0.283125725,0.283125725,0,0,0,0,0,0,0,0,0,0,0,0.078419314,0,0,0,0,0,0,0,0,0
CASP8,0,0,0,1,0.366818307,0,0,0,0.067965405,0,0,0,0,0,1,1,0.078419314,1,0,0,0,0,0,0,0,0,0.283125725,0.283125725,0,0,0,0,0,0,0,0,0,0,0,0.078419314,0,0,0,0,0,0,0,0,0
CXCL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYLD,0.091049148,0.091049148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFC,0,0,0,0,0,0,0,0.130039167,0,0,0.130039167,0,1,0,0,0,0,0,0,0,0,0,0,0.139434438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX3X,0,0,0,0,0,0,0,0,0.5756239,0,0,0,0,0,0.070370093,0.070370093,1,1,0.29072492,0.363955626,0,0,0,0,0,0,0.070370093,0.070370093,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RIG-I,1,1,0,0,0,0,0,0,0,0.493605077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109305717,0,0,0.109305717,0,0,0
